Entity,Code,Year,"Alcohol-attributable fractions, all-cause deaths (%) - Sex: both sexes",time
Afghanistan,AFG,2016,0.2,2016
Albania,ALB,2016,6.4,2016
Algeria,DZA,2016,1,2016
Angola,AGO,2016,6.8,2016
Antigua and Barbuda,ATG,2016,4.5,2016
Argentina,ARG,2016,4.4,2016
Armenia,ARM,2016,6,2016
Australia,AUS,2016,4.6,2016
Austria,AUT,2016,5.3,2016
Azerbaijan,AZE,2016,5.9,2016
Bahamas,BHS,2016,4.7,2016
Bahrain,BHR,2016,1.9,2016
Bangladesh,BGD,2016,0.9,2016
Barbados,BRB,2016,3.6,2016
Belarus,BLR,2016,24,2016
Belgium,BEL,2016,5.4,2016
Belize,BLZ,2016,6.5,2016
Benin,BEN,2016,2.6,2016
Bhutan,BTN,2016,2.4,2016
Bolivia,BOL,2016,6.1,2016
Bosnia and Herzegovina,BIH,2016,4.6,2016
Botswana,BWA,2016,5.7,2016
Brazil,BRA,2016,6.9,2016
Brunei,BRN,2016,2.2,2016
Bulgaria,BGR,2016,5.9,2016
Burkina Faso,BFA,2016,4.5,2016
Burundi,BDI,2016,5,2016
Cambodia,KHM,2016,8,2016
Cameroon,CMR,2016,6,2016
Canada,CAN,2016,4.5,2016
Cape Verde,CPV,2016,4.5,2016
Central African Republic,CAF,2016,3.6,2016
Chad,TCD,2016,1.8,2016
Chile,CHL,2016,5.4,2016
China,CHN,2016,3.8,2016
Colombia,COL,2016,5.1,2016
Comoros,COM,2016,0.9,2016
Congo,COG,2016,8.3,2016
Costa Rica,CRI,2016,4.1,2016
Cote d'Ivoire,CIV,2016,5.7,2016
Croatia,HRV,2016,6.1,2016
Cuba,CUB,2016,4.2,2016
Cyprus,CYP,2016,3.6,2016
Czechia,CZE,2016,6.2,2016
Democratic Republic of Congo,COD,2016,4,2016
Denmark,DNK,2016,5.6,2016
Djibouti,DJI,2016,1.7,2016
Dominican Republic,DOM,2016,6.6,2016
East Timor,TLS,2016,2.9,2016
Ecuador,ECU,2016,5.7,2016
Egypt,EGY,2016,1.8,2016
El Salvador,SLV,2016,7.2,2016
Equatorial Guinea,GNQ,2016,9.4,2016
Eritrea,ERI,2016,2.2,2016
Estonia,EST,2016,20.2,2016
Eswatini,SWZ,2016,5,2016
Ethiopia,ETH,2016,3.4,2016
Fiji,FJI,2016,1.7,2016
Finland,FIN,2016,5.8,2016
France,FRA,2016,5.8,2016
Gabon,GAB,2016,11.4,2016
Gambia,GMB,2016,3.3,2016
Georgia,GEO,2016,8.1,2016
Germany,DEU,2016,5.2,2016
