Entity,Year,Population - Sex: all - Age: all - Variant: estimates
Afghanistan,2023,41454762
Albania,2023,2811660
Algeria,2023,46164221
Andorra,2023,80868
Angola,2023,36749907
Antigua and Barbuda,2023,93333
Argentina,2023,45538402
Armenia,2023,2943395
Australia,2023,26451125
Austria,2023,9130434
Azerbaijan,2023,10318210
Bahamas,2023,399452
Bahrain,2023,1569674
Bangladesh,2023,171466986
Barbados,2023,282348
Belarus,2023,9115680
Belgium,2023,11712894
Belize,2023,411115
Benin,2023,14111035
Bhutan,2023,786387
Bolivia,2023,12244161
Bosnia and Herzegovina,2023,3185071
Botswana,2023,2480242
Brazil,2023,211140731
Brunei,2023,458959
Bulgaria,2023,6795804
Burkina Faso,2023,23025778
Burundi,2023,13689455
Cambodia,2023,17423881
Cameroon,2023,28372688
Canada,2023,39299099
Cape Verde,2023,522335
Central African Republic,2023,5152417
Chad,2023,19319073
Chile,2023,19658834
China,2023,1422584937
Colombia,2023,52321152
Comoros,2023,850390
Congo,2023,6182889
Costa Rica,2023,5105527
Cote d'Ivoire,2023,31165651
Croatia,2023,3896024
Cuba,2023,11019931
Cyprus,2023,1344979
Czechia,2023,10809722
Democratic Republic of Congo,2023,105789733
Denmark,2023,5948134
Djibouti,2023,1152951
Dominica,2023,66531
Dominican Republic,2023,11331268
East Timor,2023,1384292
Ecuador,2023,17980079
Egypt,2023,114535772
El Salvador,2023,6309628
Equatorial Guinea,2023,1847556
Eritrea,2023,3470392
Estonia,2023,1367194
Eswatini,2023,1230508
Ethiopia,2023,128691696
Fiji,2023,924150
Finland,2023,5601185
France,2023,66438828
French Guiana,2023,303409
Gabon,2023,2484790
Gambia,2023,2697848
Georgia,2023,3807494
Germany,2023,84548234
Ghana,2023,33787915
Greece,2023,10242909
Greenland,2023,55951
Grenada,2023,117093
Guatemala,2023,18124842
Guinea,2023,14405469
Guinea-Bissau,2023,2153344
Guyana,2023,826360
Haiti,2023,11637402
Honduras,2023,10644855
Hungary,2023,9686463
Iceland,2023,387559
India,2023,1438069597
Indonesia,2023,281190068
Iran,2023,90608708
Iraq,2023,45074055
Ireland,2023,5196629
Israel,2023,9256311
Italy,2023,59499452
Jamaica,2023,2839785
Japan,2023,124370947
Jordan,2023,11439219
Kazakhstan,2023,20330106
Kenya,2023,55339007
Kiribati,2023,132539
Kosovo,2023,1700039
Kuwait,2023,4838780
Kyrgyzstan,2023,7073523
Laos,2023,7665002
Latvia,2023,1882400
Lebanon,2023,5773492
Lesotho,2023,2311476
Liberia,2023,5493034
Libya,2023,7305660
Liechtenstein,2023,39621
Lithuania,2023,2854105
Luxembourg,2023,665101
Madagascar,2023,31195936
Malawi,2023,21104480
Malaysia,2023,35126295
Maldives,2023,526009
Mali,2023,23769129
Malta,2023,532964
Marshall Islands,2023,38849
Mauritania,2023,5022440
Mauritius,2023,1273590
Mexico,2023,129739764
Micronesia (country),2023,112646
Moldova,2023,3067071
Monaco,2023,38978
Mongolia,2023,3431939
Montenegro,2023,633557
Morocco,2023,37712517
Mozambique,2023,33635165
Myanmar,2023,54133801
Namibia,2023,2963101
Nauru,2023,11900
Nepal,2023,29694614
Netherlands,2023,18092525
New Caledonia,2023,289880
New Zealand,2023,5172839
Nicaragua,2023,6823618
Niger,2023,26159862
Nigeria,2023,227882949
North Korea,2023,26418196
North Macedonia,2023,1831800
Norway,2023,5519166
Oman,2023,5049268
Pakistan,2023,247504504
Palau,2023,17750
Palestine,2023,5409201
Panama,2023,4458759
Papua New Guinea,2023,10389638
Paraguay,2023,6844152
Peru,2023,33845617
Philippines,2023,114891200
Poland,2023,38762847
Portugal,2023,10430735
Puerto Rico,2023,3242023
Qatar,2023,2979087
Romania,2023,19118481
Russia,2023,145440504
Rwanda,2023,13954474
Saint Kitts and Nevis,2023,46783
Saint Lucia,2023,179293
Saint Vincent and the Grenadines,2023,101331
Samoa,2023,216674
San Marino,2023,33761
Sao Tome and Principe,2023,230881
Saudi Arabia,2023,33264288
Senegal,2023,18077573
Serbia,2023,6773203
Seychelles,2023,127961
Sierra Leone,2023,8460523
Singapore,2023,5789091
Slovakia,2023,5518057
Slovenia,2023,2118395
Solomon Islands,2023,800013
Somalia,2023,18358621
South Africa,2023,63212386
South Korea,2023,51748744
South Sudan,2023,11483373
Spain,2023,47911583
Sri Lanka,2023,22971616
Sudan,2023,50042799
Suriname,2023,628892
Sweden,2023,10551493
Switzerland,2023,8870564
Syria,2023,23594622
Taiwan,2023,23317145
Tajikistan,2023,10389808
Tanzania,2023,66617607
Thailand,2023,71702438
Togo,2023,9304344
Tonga,2023,104614
Trinidad and Tobago,2023,1502936
Tunisia,2023,12200434
Turkey,2023,87270503
Turkmenistan,2023,7364437
Tuvalu,2023,9837
Uganda,2023,48656604
Ukraine,2023,37732832
United Arab Emirates,2023,10642089
United Kingdom,2023,68682965
United States,2023,343477332
Uruguay,2023,3388083
Uzbekistan,2023,35652309
Vanuatu,2023,320422
Venezuela,2023,28300860
Vietnam,2023,100352189
Western Sahara,2023,579735
Yemen,2023,39390800
Zambia,2023,20723968
Zimbabwe,2023,16340829
