날짜,코드,물류 기기,수량
20200101,1,A,6
20200102,1,A,45
20200103,1,A,25
20200104,1,A,18
20200106,1,A,39
20200107,1,A,57
20200108,1,A,45
20200109,1,A,45
20200110,1,A,49
20200111,1,A,13
20200113,1,A,30
20200114,1,A,40
20200115,1,A,63
20200116,1,A,51
20200117,1,A,31
20200118,1,A,7
20200120,1,A,64
20200121,1,A,67
20200122,1,A,43
20200123,1,A,48
20200124,1,A,1
20200128,1,A,18
20200129,1,A,18
20200130,1,A,66
20200131,1,A,24
20200201,1,A,6
20200203,1,A,4
20200204,1,A,69
20200205,1,A,57
20200206,1,A,31
20200207,1,A,37
20200208,1,A,13
20200210,1,A,15
20200211,1,A,34
20200212,1,A,27
20200213,1,A,24
20200214,1,A,27
20200215,1,A,6
20200217,1,A,28
20200218,1,A,27
20200219,1,A,48
20200220,1,A,33
20200221,1,A,34
20200222,1,A,12
20200224,1,A,22
20200225,1,A,24
20200226,1,A,25
20200227,1,A,31
20200228,1,A,34
20200229,1,A,3
20200302,1,A,18
20200303,1,A,46
20200304,1,A,55
20200305,1,A,36
20200306,1,A,33
20200307,1,A,9
20200309,1,A,24
20200310,1,A,45
20200311,1,A,55
20200312,1,A,30
20200313,1,A,21
20200314,1,A,12
20200316,1,A,30
20200317,1,A,49
20200318,1,A,46
20200319,1,A,45
20200320,1,A,28
20200321,1,A,10
20200323,1,A,24
20200324,1,A,49
20200325,1,A,54
20200326,1,A,37
20200327,1,A,18
20200328,1,A,4
20200330,1,A,27
20200331,1,A,15
20200401,1,A,96
20200402,1,A,48
20200403,1,A,37
20200404,1,A,18
20200406,1,A,34
20200407,1,A,30
20200408,1,A,27
20200409,1,A,33
20200410,1,A,37
20200411,1,A,12
20200413,1,A,25
20200414,1,A,40
20200415,1,A,18
20200416,1,A,24
20200417,1,A,34
20200418,1,A,4
20200420,1,A,46
20200421,1,A,16
20200422,1,A,27
20200423,1,A,33
20200424,1,A,31
20200425,1,A,4
20200427,1,A,69
20200428,1,A,39
20200429,1,A,31
20200430,1,A,4
20200501,1,A,33
20200502,1,A,24
20200504,1,A,48
20200505,1,A,12
20200506,1,A,90
20200507,1,A,99
20200508,1,A,78
20200509,1,A,21
20200511,1,A,79
20200512,1,A,121
20200513,1,A,60
20200514,1,A,120
20200515,1,A,103
20200516,1,A,18
20200518,1,A,88
20200519,1,A,114
20200520,1,A,94
20200521,1,A,178
20200522,1,A,54
20200523,1,A,24
20200525,1,A,84
20200526,1,A,55
20200527,1,A,103
20200528,1,A,138
20200529,1,A,7
20200601,1,A,70
20200602,1,A,43
20200603,1,A,52
20200604,1,A,72
20200605,1,A,52
20200606,1,A,7
20200608,1,A,112
20200609,1,A,88
20200610,1,A,90
20200611,1,A,63
20200612,1,A,99
20200613,1,A,7
20200615,1,A,67
20200616,1,A,79
20200617,1,A,91
20200618,1,A,72
20200619,1,A,97
20200620,1,A,30
20200622,1,A,61
20200623,1,A,75
20200624,1,A,24
20200625,1,A,61
20200626,1,A,43
20200627,1,A,24
20200629,1,A,36
20200630,1,A,46
20200701,1,A,69
20200702,1,A,25
20200703,1,A,36
20200704,1,A,6
20200706,1,A,28
20200707,1,A,12
20200708,1,A,43
20200709,1,A,34
20200710,1,A,39
20200713,1,A,42
20200714,1,A,15
20200715,1,A,7
20200716,1,A,16
20200717,1,A,9
20200718,1,A,3
20200720,1,A,36
20200721,1,A,30
20200722,1,A,45
20200723,1,A,45
20200724,1,A,42
20200727,1,A,4
20200728,1,A,15
20200729,1,A,9
20200730,1,A,57
20200731,1,A,750
20200801,1,A,24
20200802,1,A,0
20200803,1,A,97
20200804,1,A,82
20200805,1,A,94
20200806,1,A,87
20200807,1,A,51
20200808,1,A,19
20200810,1,A,34
20200811,1,A,48
20200812,1,A,37
20200813,1,A,4
20200814,1,A,0
20200815,1,A,3
20200816,1,A,0
20200817,1,A,30
20200818,1,A,48
20200819,1,A,57
20200820,1,A,87
20200821,1,A,94
20200822,1,A,10
20200823,1,A,0
20200824,1,A,76
20200825,1,A,85
20200826,1,A,39
20200827,1,A,96
20200828,1,A,61
20200829,1,A,4
20200831,1,A,46
20200901,1,A,1
20200902,1,A,1
20200903,1,A,4
20200904,1,A,6
20200907,1,A,9
20200908,1,A,10
20200909,1,A,13
20200910,1,A,4
20200911,1,A,1
20200914,1,A,3
20200916,1,A,1
20200917,1,A,1
20200918,1,A,1
20200921,1,A,1
20200923,1,A,1
20200924,1,A,7
20200925,1,A,1
20200926,1,A,1
20200928,1,A,1
20200929,1,A,1695
20200930,1,A,4
20201006,1,A,46
20201007,1,A,33
20201013,1,A,9
20201015,1,A,1
20201019,1,A,4
20201022,1,A,1
20201023,1,A,4
20201026,1,A,3
20201027,1,A,1
20201028,1,A,1
20201029,1,A,1
20201030,1,A,39
20201031,1,A,1789
20201102,1,A,79
20201103,1,A,184
20201104,1,A,129
20201105,1,A,91
20201106,1,A,82
20201107,1,A,27
20201109,1,A,22
20201110,1,A,108
20201111,1,A,100
20201112,1,A,90
20201113,1,A,91
20201114,1,A,4
20201116,1,A,49
20201117,1,A,94
20201118,1,A,100
20201119,1,A,66
20201120,1,A,57
20201123,1,A,55
20201124,1,A,84
20201125,1,A,67
20201126,1,A,114
20201127,1,A,85
20201128,1,A,3
20201130,1,A,67
20201201,1,A,225
20201202,1,A,141
20201203,1,A,139
20201204,1,A,139
20201205,1,A,18
20201207,1,A,52
20201208,1,A,82
20201209,1,A,138
20201210,1,A,93
20201211,1,A,103
20201212,1,A,7
20201214,1,A,109
20201215,1,A,115
20201216,1,A,123
20201217,1,A,112
20201218,1,A,111
20201219,1,A,7
20201221,1,A,99
20201222,1,A,91
20201223,1,A,87
20201224,1,A,99
20201225,1,A,7
20201226,1,A,22
20201228,1,A,117
20201229,1,A,48
20201230,1,A,106
20201231,1,A,58
20210102,1,A,12
20210104,1,A,72
20210105,1,A,177
20210106,1,A,136
20210107,1,A,147
20210108,1,A,97
20210109,1,A,37
20210111,1,A,90
20210112,1,A,88
20210113,1,A,100
20210114,1,A,64
20210115,1,A,102
20210116,1,A,31
20210118,1,A,76
20210119,1,A,106
20210120,1,A,109
20210121,1,A,94
20210122,1,A,79
20210123,1,A,40
20210125,1,A,81
20210126,1,A,73
20210127,1,A,123
20210128,1,A,55
20210129,1,A,49
20210130,1,A,6
20210201,1,A,66
20210202,1,A,150
20210203,1,A,129
20210204,1,A,123
20210205,1,A,114
20210206,1,A,34
20210208,1,A,82
20210209,1,A,94
20210210,1,A,60
20210211,1,A,4
20210215,1,A,55
20210216,1,A,57
20210217,1,A,124
20210218,1,A,105
20210219,1,A,39
20210220,1,A,13
20210222,1,A,159
20210223,1,A,91
20210224,1,A,108
20210225,1,A,69
20210226,1,A,121
20210227,1,A,6
20210301,1,A,24
20210302,1,A,66
20210303,1,A,174
20210304,1,A,117
20210305,1,A,115
20210306,1,A,21
20210308,1,A,150
20210309,1,A,111
20210310,1,A,114
20210311,1,A,61
20210312,1,A,75
20210313,1,A,1
20210315,1,A,69
20210316,1,A,58
20210317,1,A,85
20210318,1,A,78
20210319,1,A,43
20210320,1,A,16
20210322,1,A,102
20210323,1,A,88
20210324,1,A,93
20210325,1,A,97
20210326,1,A,82
20210327,1,A,1
20210329,1,A,43
20210330,1,A,81
20210331,1,A,45
20210401,1,A,72
20210402,1,A,94
20210403,1,A,13
20210405,1,A,81
20210406,1,A,217
20210407,1,A,96
20210408,1,A,117
20210409,1,A,160
20210412,1,A,81
20210413,1,A,60
20210414,1,A,151
20210415,1,A,76
20210416,1,A,49
20210417,1,A,7
20210419,1,A,171
20210420,1,A,114
20210421,1,A,96
20210422,1,A,94
20210423,1,A,181
20210424,1,A,12
20210426,1,A,87
20210427,1,A,61
20210428,1,A,211
20210429,1,A,118
20210430,1,A,48
20210501,1,A,7
20210503,1,A,84
20210504,1,A,115
20210505,1,A,15
20210506,1,A,120
20210507,1,A,112
20210508,1,A,30
20210510,1,A,136
20210511,1,A,115
20210512,1,A,60
20210513,1,A,130
20210514,1,A,91
20210515,1,A,19
20210517,1,A,67
20210518,1,A,75
20210519,1,A,30
20210520,1,A,88
20210521,1,A,136
20210522,1,A,12
20210524,1,A,82
20210525,1,A,81
20210526,1,A,64
20210527,1,A,90
20210528,1,A,85
20210531,1,A,102
20210601,1,A,49
20210602,1,A,99
20210603,1,A,87
20210604,1,A,37
20210605,1,A,18
20210607,1,A,61
20210608,1,A,75
20210609,1,A,97
20210610,1,A,54
20210611,1,A,43
20210612,1,A,13
20210614,1,A,63
20210615,1,A,46
20210616,1,A,93
20210617,1,A,39
20210618,1,A,43
20210621,1,A,51
20210622,1,A,43
20210623,1,A,78
20210624,1,A,67
20210625,1,A,55
20210626,1,A,7
20210628,1,A,48
20210629,1,A,82
20210630,1,A,21
20210701,1,A,82
20210702,1,A,76
20210703,1,A,15
20210705,1,A,88
20210706,1,A,141
20210707,1,A,67
20210708,1,A,96
20210709,1,A,66
20210710,1,A,6
20210712,1,A,123
20210713,1,A,88
20210714,1,A,93
20210715,1,A,84
20210716,1,A,61
20210717,1,A,9
20210719,1,A,72
20210720,1,A,90
20210721,1,A,39
20210722,1,A,9
20210723,1,A,18
20210724,1,A,12
20210726,1,A,36
20210727,1,A,9
20210728,1,A,22
20210729,1,A,37
20210730,1,A,130
20210802,1,A,75
20210803,1,A,72
20210804,1,A,132
20210805,1,A,84
20210806,1,A,82
20210807,1,A,25
20210809,1,A,61
20210810,1,A,106
20210811,1,A,85
20210814,1,A,33
20210816,1,A,67
20210817,1,A,15
20210818,1,A,109
20210819,1,A,105
20210820,1,A,123
20210821,1,A,4
20210823,1,A,60
20210824,1,A,43
20210825,1,A,84
20210826,1,A,24
20210827,1,A,39
20210828,1,A,10
